power_density,thermal_cond_si,boundary_temp,metal_cond_Cu,metal_cond_W,die_thickness,block_power_map,tim_hs_conductance,x,y,hotspot_cx,hotspot_cy,sigma_spot,r_sq,temperature
7.925,112.46,290.43,365.95,158.3,0.579,9.958,0.7619,0.5107,0.4635,0.8079,0.526,0.082,0.092205,331.266
3.448,164.2,300.82,391.61,161.55,0.502,9.575,1.1383,0.4174,0.6134,0.7403,0.4114,0.0505,0.145051,312.916
7.759,158.83,318.14,380.0,156.21,0.691,7.208,0.391,0.2221,0.2725,0.1036,0.2864,0.1279,0.014239,362.132
1.673,121.45,324.85,385.4,172.44,0.789,9.833,0.785,0.1199,0.2742,0.1323,0.6969,0.1378,0.178868,335.944
6.127,162.22,297.63,355.72,158.12,0.347,13.712,1.1164,0.3376,0.1136,0.4732,0.4009,0.0859,0.100919,309.869
1.8,103.0,292.83,363.29,161.73,0.694,7.63,0.5109,0.9429,0.1141,0.3817,0.638,0.0843,0.58951,307.13
2.915,138.4,290.35,399.83,174.09,0.76,5.535,0.9938,0.3232,0.3477,0.1746,0.6843,0.1356,0.135397,305.344
4.996,165.49,298.61,371.68,160.19,0.458,7.405,0.5297,0.5188,0.7629,0.2542,0.6808,0.0998,0.07673,312.658
5.149,159.88,292.85,367.94,158.75,0.482,2.604,1.1799,0.703,0.608,0.8544,0.1652,0.0648,0.218936,307.989
6.426,124.93,304.38,393.69,169.54,0.697,1.912,0.9813,0.3636,0.1026,0.3943,0.8797,0.2344,0.604805,339.974
5.307,112.8,307.61,351.65,179.26,0.777,6.453,0.888,0.9718,0.8522,0.277,0.7077,0.2231,0.503572,343.646
5.155,114.74,309.2,376.74,151.88,0.769,13.889,1.0858,0.9624,0.6014,0.2296,0.5778,0.0605,0.537656,343.829
7.386,136.02,295.69,360.51,175.04,0.328,13.012,0.8289,0.2518,0.9609,0.5722,0.3307,0.0911,0.499723,312.96
4.165,141.77,308.56,368.41,153.65,0.736,10.335,0.563,0.4972,0.6702,0.4716,0.2212,0.1913,0.202235,331.08
2.577,102.3,290.36,359.99,160.35,0.593,10.924,0.5862,0.3009,0.1752,0.3729,0.7354,0.0635,0.31906,303.287
2.133,128.95,299.58,351.89,162.5,0.511,12.978,0.8299,0.2848,0.4738,0.3945,0.4155,0.2338,0.015423,329.474
3.8,158.13,304.76,370.83,171.56,0.723,13.774,0.7753,0.0369,0.6485,0.2617,0.8294,0.053,0.08329,322.403
5.989,131.1,294.73,389.46,177.8,0.7,10.062,1.1172,0.6096,0.0283,0.6971,0.8524,0.1574,0.686797,327.907
1.298,111.84,322.56,397.6,153.06,0.555,6.096,0.7877,0.5027,0.0149,0.6989,0.1446,0.1303,0.055325,331.281
1.903,166.84,298.05,381.19,172.34,0.505,2.638,0.7597,0.0515,0.1294,0.126,0.5643,0.1454,0.194666,304.373
1.743,118.64,320.2,369.44,159.67,0.536,0.6,0.7035,0.2786,0.2517,0.2722,0.407,0.195,0.024162,328.93
5.097,155.89,308.96,388.49,177.06,0.459,9.895,0.4158,0.9083,0.4295,0.1492,0.4267,0.0555,0.576233,323.649
2.7,113.57,309.19,375.26,158.35,0.64,6.268,0.4085,0.2396,0.4874,0.1702,0.593,0.1744,0.015949,337.773
2.164,129.62,315.81,368.38,170.82,0.746,1.655,0.9011,0.1449,0.138,0.8659,0.7219,0.2172,0.860712,327.5
5.149,134.33,291.77,358.95,154.94,0.425,4.541,0.7129,0.4895,0.6734,0.464,0.5397,0.1909,0.018509,313.045
6.329,135.04,293.15,389.81,178.74,0.713,7.297,0.7916,0.9857,0.5961,0.2595,0.7054,0.1235,0.539171,326.195
3.325,136.15,303.07,375.02,150.13,0.48,11.862,1.1344,0.2421,0.2945,0.8724,0.8722,0.087,0.731074,314.828
5.047,115.75,306.67,398.19,156.99,0.366,5.064,1.0047,0.6721,0.0137,0.4809,0.4288,0.1929,0.208946,322.234
1.687,136.11,307.2,390.1,170.28,0.32,10.015,0.6416,0.7616,0.0776,0.6482,0.4556,0.1225,0.15574,311.36
7.546,133.72,317.08,371.0,175.61,0.54,1.126,1.0001,0.2376,0.3917,0.8659,0.6387,0.2099,0.455715,347.094
3.358,114.61,290.03,387.04,179.81,0.584,14.455,1.1763,0.7282,0.154,0.8438,0.1316,0.0553,0.013868,311.327
7.983,169.17,328.36,372.67,155.2,0.303,14.589,0.4471,0.3678,0.3768,0.8716,0.1939,0.0523,0.287275,343.609
7.85,160.59,296.98,353.99,159.21,0.626,8.161,1.1071,0.6323,0.6282,0.7716,0.2204,0.1484,0.185643,328.079
6.452,162.13,299.95,375.83,176.76,0.559,10.035,0.6188,0.6335,0.5472,0.6607,0.5625,0.0733,0.000971,336.224
1.14,147.99,326.23,393.29,150.97,0.799,11.586,0.9622,0.5358,0.2312,0.2674,0.5353,0.2151,0.164502,337.235
4.804,111.19,290.22,392.77,172.0,0.352,14.571,0.9115,0.0903,0.3438,0.2462,0.3447,0.0667,0.024316,306.511
1.608,139.77,329.65,378.75,162.69,0.653,8.397,0.9364,0.8353,0.614,0.3821,0.5599,0.2395,0.20833,340.324
7.266,157.5,291.44,369.0,170.66,0.409,11.453,1.1027,0.3208,0.8609,0.8203,0.8714,0.1064,0.249666,309.923
6.527,102.71,294.82,350.51,165.75,0.403,3.289,0.8674,0.1865,0.7532,0.2977,0.7896,0.2251,0.013679,326.039
7.806,134.71,299.6,365.57,168.81,0.309,2.734,0.4716,0.0408,0.5534,0.2681,0.3876,0.1051,0.079166,317.765
5.259,127.73,307.55,399.49,170.0,0.303,10.832,0.902,0.5909,0.3623,0.5608,0.861,0.1317,0.249655,320.754
4.655,114.85,310.74,386.32,168.94,0.393,13.897,0.6047,0.6776,0.3651,0.2852,0.3839,0.0919,0.154307,326.397
4.633,126.48,294.19,385.88,169.94,0.388,8.731,1.1589,0.0166,0.8794,0.5635,0.5588,0.0598,0.401921,306.623
3.705,168.84,292.95,388.05,167.05,0.3,8.25,0.5819,0.5121,0.0392,0.6212,0.6489,0.1693,0.38362,300.153
4.281,150.63,291.27,381.01,171.42,0.659,8.781,0.517,0.2265,0.988,0.3832,0.5872,0.2111,0.18522,312.514
5.448,120.97,300.27,379.29,173.28,0.552,13.253,0.314,0.6452,0.6644,0.4635,0.7761,0.196,0.045488,341.405
7.531,142.37,326.86,372.68,173.64,0.498,12.101,1.0759,0.1744,0.6811,0.4739,0.5522,0.2441,0.106313,361.178
5.171,117.27,305.59,372.2,175.61,0.352,12.124,1.1245,0.6909,0.038,0.1964,0.3997,0.2315,0.375402,321.792
7.0,142.76,320.56,393.54,159.49,0.467,2.044,0.3609,0.3867,0.6055,0.19,0.5364,0.0779,0.04349,343.385
7.039,162.73,297.61,369.67,172.37,0.535,11.516,0.6732,0.9367,0.4848,0.2188,0.8477,0.1752,0.647104,322.368
4.632,138.98,292.59,392.01,178.4,0.799,11.64,0.6767,0.1375,0.1058,0.7056,0.6682,0.1449,0.639049,319.992
3.432,151.33,312.17,391.89,161.02,0.555,2.416,1.0202,0.3411,0.2779,0.7143,0.3242,0.0873,0.141446,324.97
5.477,131.73,322.88,388.54,173.33,0.31,7.337,0.6093,0.1135,0.8903,0.4435,0.1158,0.2004,0.708824,336.66
4.121,136.69,325.94,351.88,158.74,0.404,1.919,0.609,0.9247,0.55,0.1216,0.5835,0.1467,0.646082,338.311
1.57,148.66,311.85,357.4,155.27,0.477,6.257,0.5986,0.8773,0.4134,0.111,0.2179,0.1897,0.625567,316.476
3.645,156.87,301.76,365.74,163.39,0.528,9.795,0.6863,0.2579,0.0727,0.8673,0.5029,0.0622,0.556411,313.241
7.959,146.16,294.38,392.38,174.2,0.637,3.665,0.8784,0.66,0.7141,0.2831,0.2966,0.0727,0.316361,330.017
1.34,168.42,316.71,393.66,159.21,0.595,2.417,1.1717,0.8172,0.7029,0.2344,0.818,0.1386,0.352955,320.919
5.877,157.39,301.22,352.08,158.85,0.555,9.755,0.7754,0.5552,0.614,0.1678,0.2039,0.0538,0.318259,322.886
6.888,154.4,323.76,366.24,158.33,0.719,12.488,0.6505,0.5297,0.5103,0.6595,0.8874,0.0879,0.1591,356.497
5.541,159.16,314.2,392.52,156.54,0.398,2.737,0.3158,0.2419,0.4338,0.6819,0.1885,0.2175,0.25382,328.688
4.988,119.68,324.36,362.48,168.33,0.339,13.612,0.4442,0.0931,0.5933,0.8667,0.5842,0.1441,0.598499,338.965
5.953,130.24,312.67,398.8,157.3,0.719,11.187,1.1533,0.8972,0.2334,0.7742,0.5154,0.1931,0.094651,353.934
4.005,139.51,320.87,374.47,178.05,0.531,10.332,0.5338,0.9004,0.9413,0.1199,0.6802,0.0827,0.677324,336.17
1.64,132.37,301.77,396.87,160.38,0.577,2.254,0.4816,0.6331,0.5888,0.7508,0.2799,0.1265,0.109261,308.895
7.737,159.32,310.12,371.44,166.27,0.719,13.981,0.455,0.339,0.3112,0.8739,0.4428,0.2138,0.303402,346.336
4.026,101.89,290.78,366.19,162.28,0.773,7.365,0.8293,0.3492,0.4497,0.5206,0.1036,0.0585,0.149171,320.564
5.658,114.64,314.31,368.12,178.88,0.576,8.266,0.6555,0.726,0.8057,0.2309,0.6363,0.1132,0.273751,343.2
4.719,161.72,311.35,394.22,162.72,0.706,7.933,0.8255,0.8971,0.1616,0.2858,0.3556,0.1522,0.411299,332.943
1.383,104.14,320.21,366.53,166.91,0.572,8.2,1.1766,0.8871,0.2928,0.7701,0.8668,0.1744,0.343131,328.024
7.669,115.89,319.16,383.47,172.9,0.317,12.432,0.3671,0.7799,0.6795,0.8732,0.4671,0.0794,0.05385,341.772
6.548,124.59,315.1,373.49,155.14,0.778,1.933,0.4212,0.642,0.3155,0.8648,0.6549,0.2351,0.16483,358.44
2.044,152.55,292.27,397.08,150.98,0.709,7.515,0.8162,0.0841,0.7925,0.4967,0.2395,0.1975,0.476021,303.04
7.872,139.21,326.12,357.97,163.65,0.677,9.402,0.4476,0.1616,0.1305,0.5934,0.7449,0.0628,0.563994,364.265
6.158,166.82,290.72,371.43,166.52,0.521,2.207,0.897,0.8986,0.7627,0.6352,0.112,0.1391,0.492755,309.1
4.306,115.95,322.13,356.23,158.61,0.771,8.925,1.0328,0.6064,0.0684,0.4394,0.143,0.2279,0.033461,373.2
5.28,161.05,309.17,378.91,163.88,0.545,7.883,0.955,0.0092,0.0126,0.851,0.7217,0.23,1.211408,327.934
1.747,119.8,322.72,370.14,168.45,0.66,3.729,0.5856,0.1015,0.8982,0.7552,0.4236,0.2259,0.652588,332.616
